['Ecuador', 'Sulfate', -2],
['Namibia', 'Sulfate', -5],
['Iceland', 'Sulfate', -6],
['Guinea-Bissau', 'Sulfate', -2],
['Greece', 'Sulfate', -4],
['Indonesia', 'Sulfate', -1],
['Burundi', 'Sulfate', -3],
['Ukraine', 'Sulfate', -3],
['Switzerland', 'Sulfate', -1],
['Israel', 'Sulfate', -2],
['El Salvador', 'Sulfate', -1],
['Mauritania', 'Sulfate', -3],
['Portugal', 'Sulfate', -3],
['Yemen', 'Sulfate', -4],
['United Arab Emirates', 'Sulfate', -3],
['Lebanon', 'Sulfate', -2],
['Armenia', 'Sulfate', -3],
['French Polynesia', 'Sulfate', -2],
['Venezuela', 'Sulfate', -1],
['Turks and Caicos Islands', 'Sulfate', -1],
['Benin', 'Sulfate', -4],
['Peru', 'Sulfate', -4],
['Haiti', 'Sulfate', -1],
['Bosnia and Herzegovina', 'Sulfate', -4],
['Brunei', 'Sulfate', -1],
['Morocco', 'Sulfate', -3],
['China', 'Sulfate', -5],
['Yugoslavia', 'Sulfate', -5],
['Iran', 'Sulfate', -2],
['Cyprus', 'Sulfate', -2],
['Eritrea', 'Sulfate', -3],
['Spain', 'Sulfate', -2],
['Honduras', 'Sulfate', -2],
['New Caledonia', 'Sulfate', -4],
['Austria', 'Sulfate', -2],
['Netherlands', 'Sulfate', -1],
['Rwanda', 'Sulfate', -3],
['Georgia', 'Sulfate', -3],
['Cambodia', 'Sulfate', -2],
['Thailand', 'Sulfate', -2],
['Cape Verde', 'Sulfate', -6],
['Mexico', 'Sulfate', -4],
['Antarctica', 'Sulfate', #VALUE!],
['Comoros', 'Sulfate', -2],
['Gambia, The', 'Sulfate', -3],
['Seychelles', 'Sulfate', -7],
['Italy', 'Sulfate', -2],
['Fiji', 'Sulfate', -2],
['Kerguelen', 'Sulfate', #VALUE!],
['Canada', 'Sulfate', -3],
['Ethiopia', 'Sulfate', -3],
['Maldives', 'Sulfate', -7],
['Bolivia', 'Sulfate', -6],
['Nicaragua', 'Sulfate', -1],
['Panama', 'Sulfate', -1],
['Ghana', 'Sulfate', -3],
['Timor-Leste', 'Sulfate', -1],
['Poland', 'Sulfate', -2],
['United States', 'Sulfate', -5],
['Guyana', 'Sulfate', -1],
['South Africa', 'Sulfate', -4],
['Tanzania, United Republic of', 'Sulfate', -2],
['Australia', 'Sulfate', -3],
['Colombia', 'Sulfate', -1],
['Algeria', 'Sulfate', -3],
['Philippines', 'Sulfate', -1],
['Belgium', 'Sulfate', -1],
['Martinique', 'Sulfate', -3],
['Puerto Rico', 'Sulfate', -1],
['Niger', 'Sulfate', -2],
['Bahamas, The', 'Sulfate', -2],
['Western Sahara', 'Sulfate', -3],
['Kenya', 'Sulfate', -2],
['Zambia', 'Sulfate', -3],
['Singapore', 'Sulfate', -1],
['Dominica', 'Sulfate', -2],
['Jamaica', 'Sulfate', -1],
['Syria', 'Sulfate', -2],
['Belize', 'Sulfate', -2],
['Macedonia', 'Sulfate', -5],
['Albania', 'Sulfate', -4],
['Monaco', 'Sulfate', -2],
['Laos', 'Sulfate', -2],
['Guadeloupe', 'Sulfate', -2],
['French Guiana', 'Sulfate', -1],
['Trinidad and Tobago', 'Sulfate', -1],
['Norway', 'Sulfate', -4],
['Turkey', 'Sulfate', -3],
['Iraq', 'Sulfate', -3],
['Croatia', 'Sulfate', -3],
['Guatemala', 'Sulfate', -2],
['Papua New Guinea', 'Sulfate', -1],
['Somalia', 'Sulfate', -4],
['Paraguay', 'Sulfate', -3],
['Suriname', 'Sulfate', -1],
['Liechtenstein', 'Sulfate', -1],
['Faroe Islands', 'Sulfate', -8],
['Kuwait', 'Sulfate', -3],
['Korea, Peoples Republic of', 'Sulfate', -2],
['Hong Kong', 'Sulfate', -3],
['Uganda', 'Sulfate', -2],
['Estonia', 'Sulfate', -2],
['Senegal', 'Sulfate', -3],
['Qatar', 'Sulfate', -3],
['Greenland', 'Sulfate', -3],
['Vanuatu', 'Sulfate', -2],
['Sudan', 'Sulfate', -3],
['Antigua and Barbuda', 'Sulfate', -2],
['Sweden', 'Sulfate', -3],
['Jan Mayen', 'Sulfate', -25],
['Mauritius', 'Sulfate', -4],
['Afghanistan', 'Sulfate', -1],
['Taiwan', 'Sulfate', -2],
['Kiribati', 'Sulfate', #VALUE!],
['Hungary', 'Sulfate', -3],
['Latvia', 'Sulfate', -2],
['France', 'Sulfate', -1],
['Chile', 'Sulfate', -5],
['Burkina Faso', 'Sulfate', -2],
['Congo', 'Sulfate', -4],
['Slovakia', 'Sulfate', -3],
['Mozambique', 'Sulfate', -2],
['Kazakhstan', 'Sulfate', -3],
['Byelarus', 'Sulfate', -2],
['Cameroon', 'Sulfate', -2],
['Northern Mariana Islands', 'Sulfate', -3],
['Swaziland', 'Sulfate', -2],
['Finland', 'Sulfate', -3],
['Denmark', 'Sulfate', -2],
['Korea, Republic of', 'Sulfate', -3],
['Azerbaijan', 'Sulfate', -2],
['Nigeria', 'Sulfate', -3],
['Turkmenistan', 'Sulfate', -2],
['Kyrgyzstan', 'Sulfate', -1],
['Gabon', 'Sulfate', -4],
['Argentina', 'Sulfate', -5],
